,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
0,30075445-20230822,30075445,A,30075445,MORRIS PARK BAKE SHOP,40.84823122,-73.85597189,3,Test,12.42311584,10.98460082,12.45310694,5,12,,,,06E,"04L,08A,08C",,,,2,"04L,08A,08C",20210810,20230822,,,,20230822
1,30112340-20220713,30112340,A,30112340,WENDY'S,40.66265152,-73.96208137,0,Training,10.3996766,9.165299548,10.39058744,16,11,9,,,"02G,04N,08A","02G,10F","04M,10B",,,3,"04M,10B",20210805,20220713,20230721,,,20230721
2,30191841-20230423,30191841,A,30191841,DJ REYNOLDS PUB AND RESTAURANT,40.76732571,-73.98431042,1,Test,10.54597893,10.54597893,11.95584669,12,10,,,,"06D,10B,10F","06C,06E",,,,2,"06C,06E",20220104,20230423,,,,20230423
3,40356018-20220201,40356018,A,40356018,RIVIERA CATERERS,40.57989566,-73.98208666,4,Training,7.950252811,7.950252811,9.013103894,10,7,,,,"06D,09B,10F",02G,,,,2,02G,20191108,20220201,,,,20220201
4,40356483-20220819,40356483,A,40356483,WILKEN'S FINE FOOD,40.62011159,-73.90698949,0,Training,2.783646179,5.161592902,5.851634431,9,2,,,,"04L,08A",10F,,,,2,10F,20220124,20220819,,,,20220819
5,40356731-20230117,40356731,A,40356731,TASTE THE TROPICS ICE CREAM,40.64079502,-73.94848798,3,Test,10.13345048,10.65540722,12.0799042,13,9,,,,"04N,08A,10F","04M,08A",,,,2,"04M,08A",20210820,20230117,,,,20230117
6,40357217-20190522,40357217,A,40357217,WILD ASIA,40.85053675,-73.88245508,3,Training,9.940121461,9.702185723,10.9992487,10,10,,,,"04L,08A","02G,10I",,,,2,"02G,10I",20190522,20210728,,,,20210728
7,40359480-20191001,40359480,A,40359480,1 EAST 66TH STREET KITCHEN,40.76854691,-73.96958058,0,Training,9.79204619,9.784329116,11.09237366,9,9,,,,"04H,10F","06D,10F",,,,2,"06D,10F",20191001,20220503,,,,20220503
8,40359705-20230426,40359705,A,40359705,NATHAN'S FAMOUS,40.57553687,-73.98165226,4,Test,9.951196187,9.951196187,11.28154881,12,13,,,,"06D,10B,10F","02G,10B",,,,2,"02G,10B",20220210,20230426,,,,20230426
9,40360045-20230131,40360045,A,40360045,SEUDA FOODS,40.60618692,-73.96546645,0,Test,14.5254528,13.17595224,14.9374151,12,13,,,,"02B,10F","04M,08A,10B,10F",,,,2,"04M,08A,10B,10F",20220105,20230131,,,,20230131
10,40361618-20230426,40361618,A,40361618,SAL'S DELI,40.78167384,-73.83941598,3,Test,12.51402224,10.04663876,11.38975087,5,13,,,,06A,"04K,04L,08A,10F",,,,2,"04K,04L,08A,10F",20220201,20230426,,,,20230426
11,40361998-20210811,40361998,A,40361998,STEVE CHU'S DELI & GROCERY,40.76457121,-73.93882546,0,Training,7.950807839,8.913179651,10.10476222,7,12,,,,"06F,10F","04L,08A",,,,2,"04L,08A",20210811,20221212,,,,20221212
12,40362264-20220816,40362264,A,40362264,P & S DELI GROCERY,40.79262064,-73.96770962,3,Training,12.6796283,12.6796283,14.37473876,12,12,,,,"04N,08A,09B","02G,06D",,,,2,"02G,06D",20220816,20230207,,,,20230207
13,40362432-20210722,40362432,A,40362432,HO MEI RESTAURANT,40.75330591,-73.86429538,0,Training,7.952513218,7.935797959,8.996716605,8,8,,,,"06E,10F","06D,10F",,,,2,"06D,10F",20210722,20221025,,,,20221025
14,40362869-20220309,40362869,A,40362869,SHASHEMENE INT'L RESTAURANT,40.65198322,-73.92457494,5,Training,7.031740276,7.031740276,7.971797522,8,,,,,04J,,,,,1,04J,20220309,,,,,20220309
15,40363298-20210729,40363298,A,40363298,CAFE METRO,40.75618542,-73.99056473,3,Training,10.51831913,5.013382262,5.68360985,10,2,,,,"04N,08A",10B,,,,2,10B,20210729,20220902,,,,20220902
16,40363427-20220609,40363427,A,40363427,BAGELS N BUNS,40.61026786,-74.14640121,1,Training,10.54040798,12.68342715,14.37904546,18,12,9,,,"04H,04N,08A","06C,10E,10F","06D,10F",,,3,"06D,10F",20211129,20220609,20230503,,,20230503
17,40363834-20220802,40363834,A,40363834,CARVEL,40.59855313,-74.07964601,5,Training,7.437649302,7.437649302,8.431971596,10,7,,,,"06D,09A,10F","06E,10E",,,,2,"06E,10E",20220302,20220802,,,,20220802
18,40363920-20230426,40363920,A,40363920,NEW GOLDEN BILLION,40.66214059,-73.92718021,0,Test,2.783646179,2.772328623,3.142954884,2,2,,,,10F,10F,,,,2,10F,20220216,20230426,,,,20230426
19,40364220-20231101,40364220,A,40364220,KOSHER BAGEL HOLE,40.62511113,-73.96203434,0,Test,2.783646179,5.289401499,5.996529466,12,13,2,,,"04N,08A","04N,08A,10F",10F,,,3,10F,20210804,20220824,20231101,,,20231101
20,40364296-20220103,40364296,A,40364296,HAPPY GARDEN,40.86364881,-73.89423962,0,Training,12.07883328,11.96630885,13.56605727,11,,,,,"02B,09B,10F",,,,,1,"02B,09B,10F",20220103,,,,,20220103
21,40364305-20230123,40364305,A,40364305,PHILADELPHIA GRILLE EXPRESS,40.61272249,-74.03375177,0,Test,2.783646179,4.632000726,5.251242291,11,3,,,,"02G,10D,10F",10F,,,,2,10F,20210809,20230123,,,,20230123
22,40364335-20230321,40364335,A,40364335,PETER LUGER STEAKHOUSE,40.7099798,-73.96251244,0,Test,10.27535107,10.30672122,11.68460316,7,12,,,,"06D,10F","02B,10F",,,,2,"02B,10F",20220104,20230321,,,,20230321
23,40364347-20220412,40364347,A,40364347,METROPOLITAN CLUB,40.76479552,-73.97230783,0,Training,12.41503378,12.38669966,14.04264916,11,,,,,"04M,08A,10F",,,,,1,"04M,08A,10F",20220412,,,,,20220412
24,40364373-20230206,40364373,A,40364373,ISLE OF CAPRI RESTURANT,40.76270774,-73.96574958,6,Test,7.724897097,7.724897097,8.75762089,10,7,,,,"06D,10B,10I",02B,,,,2,02B,20220216,20230206,,,,20230206
25,40364389-20220720,40364389,A,40364389,OLD TOWN BAR & RESTAURANT,40.73759507,-73.98964721,3,Training,13.0013135,12.75020908,14.45475532,12,9,12,13,,"02G,06D","06D,10F","05D,10D","04N,08A,08C",,4,"04N,08A,08C",20190723,20191209,20210729,20220720,,20220720
26,40364439-20230517,40364439,A,40364439,SEVILLA RESTAURANT,40.73490838,-74.00297329,3,Test,12.27743862,14.58025261,16.52945317,19,12,,,,"04L,06C,08A,08C","04L,08A,10B",,,,2,"04L,08A,10B",20220518,20230517,,,,20230517
27,40364443-20220113,40364443,C,40364443,CRIMINAL COURT BLDG CAFETERIA,40.71607657,-74.0014249,3,Training,23.1983655,20.96149751,23.76379208,18,,,,,"04L,06D,08A,10F",,,,,1,"04L,06D,08A,10F",20221202,,,,,20221202
28,40364449-20220428,40364449,A,40364449,GOTTSCHEER HALL,40.70664797,-73.90573574,3,Training,12.16503652,11.6213372,13.17496714,7,13,,,,04H,"04L,08A,10F",,,,2,"04L,08A,10F",20190723,20220428,,,,20220428
29,40364518-20220928,40364518,A,40364518,7B BAR,40.72498456,-73.98128265,3,Training,10.28910718,10.28910718,11.66463435,10,,,,,"04K,04L,08A",,,,,1,"04K,04L,08A",20220928,,,,,20220928
30,40364572-20230418,40364572,A,40364572,DONOHUE'S STEAK HOUSE,40.76551288,-73.96576979,3,Test,9.940121461,9.940121461,11.26899352,9,,,,,"04L,08A",,,,,1,"04L,08A",20230418,,,,,20230418
31,40364581-20211129,40364581,A,40364581,JUNIOR'S,40.69020015,-73.9816242,1,Training,10.64124574,10.64124574,12.06384951,13,13,,,,"06C,10B,10F","06D,10F,10G",,,,2,"06D,10F,10G",20211129,20230227,,,,20230227
32,40364715-20230323,40364715,A,40364715,OLD HOMESTEAD,40.74137222,-74.00503776,0,Test,12.80934216,12.64176374,14.33181217,12,,,,,"02G,08B,10F",,,,,1,"02G,08B,10F",20230323,,,,,20230323
33,40364744-20231204,40364744,A,40364744,NEW PARK PIZZERIA & RESTAURANT,40.6631017,-73.84083793,3,Test,9.940121461,10.38510447,11.7734653,12,10,,,,"04L,08A,10F","04L,08A",,,,2,"04L,08A",20210805,20231204,,,,20231204
34,40364858-20191120,40364858,A,40364858,DOUGLASTON CLUB,40.77632972,-73.75283544,0,Training,4.894065196,6.976772706,7.909481464,11,11,5,,,"04L,08A,10I","04L,08A,10F","10B,10F",,,3,"10B,10F",20170816,20181025,20191120,,,20191120
35,40364956-20230810,40364956,A,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,40.83061012,-73.84964668,3,Test,12.27743862,12.27743862,13.91878126,12,,,,,"04L,08A,10B",,,,,1,"04L,08A,10B",20230810,,,,,20230810
36,40365013-20230607,40365013,A,40365013,CRYSTAL ROOM,40.59281418,-74.07067712,1,Test,8.253095235,9.71308453,11.01160455,13,8,,,,"04H,06C","06C,10F",,,,2,"06C,10F",20220207,20230607,,,,20230607
37,40365075-20230817,40365075,A,40365075,MCSORLEY'S OLD ALE HOUSE,40.728584,-73.98953677,3,Test,12.27743862,12.27743862,13.91878126,13,12,,,,"04L,08A,10B","04L,08A,10B",,,,2,"04L,08A,10B",20210804,20230817,,,,20230817
38,40365120-20220728,40365120,A,40365120,SOUTH SHORE SWIMMING CLUB,40.50806852,-74.22828215,0,Training,12.3921422,12.39496927,14.05202431,13,,,,,"04A,10F",,,,,1,"04A,10F",20220728,,,,,20220728
39,40365166-20220331,40365166,A,40365166,CORNER BISTRO,40.73792485,-74.00386112,4,Training,12.80484721,12.80484721,14.51669789,13,,,,,"02G,08C,10E,10J",,,,,1,"02G,08C,10E,10J",20220331,,,,,20220331
40,40365264-20230329,40365264,A,40365264,LA GRENOUILLE,40.75965816,-73.97597744,0,Test,10.06122686,10.38707676,11.77570125,13,12,,,,"04N,08A,10B","06F,10B,10F",,,,2,"06F,10B,10F",20210812,20230329,,,,20230329
41,40365288-20200212,40365288,A,40365288,KEATS RESTAURANT,40.75159837,-73.9708949,5,Training,4.499042564,4.499042564,5.100509256,5,,,,,"08C,10H",,,,,1,"08C,10H",20200212,,,,,20200212
42,40365387-20230320,40365387,A,40365387,ARTURO'S,40.72723405,-74.00051594,1,Test,8.253095235,8.152147761,9.241989716,9,7,,,,02G,"06C,10F",,,,2,"06C,10F",20220214,20230320,,,,20230320
43,40365499-20220104,40365499,A,40365499,YANKEE TAVERN,40.82755786,-73.9251412,3,Training,12.27743862,12.27743862,13.91878126,12,,,,,"04L,08A,10B",,,,,1,"04L,08A,10B",20220104,,,,,20220104
